country,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,Continent
Côte d'Ivoire,1090000,1090000,1090000,1070000,1050000,1040000,1110000,1190000,1280000,1360000,1460000,1530000,1640000,1890000,2180000,2630000,3500000,5100000,8029999,11900000,16500000,20500000,26400000,Africa
Cameroon,1860000,1860000,1880000,2120000,2420000,2750000,2890000,3020000,3190000,3350000,3210000,2950000,2830000,3200000,3650000,4310000,5180000,6520000,8620000,11800000,15500000,20300000,26500000,Africa
Democratic Republic of the Congo,5160000,5160000,5210000,6030000,7040000,8150000,8289999,8800000,9470000,9860000,9390000,8530000,8109999,9140000,10300000,12200000,15200000,20000000,26400000,34600000,47100000,64599999,89600000,Africa
Republic of the Congo,314000,314000,318000,369000,433000,503000,511000,543000,589000,629000,603000,550000,524000,600000,692000,827000,1020000,1330000,1780000,2360000,3130000,4270000,5520000,Africa
Colombia,1210000,1210000,1230000,1670000,1920000,2089999,2640000,2450000,2870000,3430000,4090000,5020000,6390000,8090000,9480000,12000000,16100000,21500000,26900000,33100000,39600000,45200000,50900000,South America
Comoros,56300,56300,56400,57500,58800,60100,64200,68700,73500,78600,84800,104000,127000,137000,147000,159000,191000,230000,308000,412000,542000,690000,870000,Africa
Cape Verde,55700,55700,56100,61900,68800,76500,87300,99500,113000,129000,147000,165000,152000,173000,209000,178000,202000,269000,284000,338000,428000,493000,556000,Africa
Costa Rica,53000,57800,63500,77900,93400,102000,121000,142000,189000,255000,317000,390000,458000,545000,680000,946000,1330000,1850000,2390000,3120000,3960000,4580000,5090000,North America
Cuba,272000,550000,622000,978000,1020000,1190000,1380000,1360000,1530000,1650000,1720000,2270000,3070000,3920000,4700000,5920000,7140000,8710000,9850000,10600000,11100000,11200000,11300000,North America
Cyprus,184000,185000,185000,185000,185000,185000,186000,186000,187000,209000,237000,273000,310000,350000,444000,494000,573000,614000,685000,767000,943000,1110000,1210000,Asia
Czech Republic,5520000,5520000,5530000,6000000,6380000,6830000,7280000,7700000,8199999,8700000,9330000,10000000,9980000,10600000,11200000,8900000,9590000,9820000,10300000,10300000,10300000,10500000,10700000,Europe
Germany,18000000,21200000,24800000,28000000,31100000,33700000,36200000,39500000,43800000,48300000,55200000,63200000,62400000,66300000,70700000,70000000,73400000,78600000,78300000,79100000,81400000,80800000,83800000,Europe
Djibouti,22800,22800,23100,27600,33400,40000,40400,40300,40600,41000,42200,43300,44400,48800,53100,62000,83600,160000,359000,590000,718000,840000,988000,Africa
Dominica,19900,19900,20000,20900,22000,23500,25000,26800,27700,27000,28900,33500,36700,42400,47300,51100,60000,71100,75300,70400,69700,70900,72000,North America
Denmark,1000000,1070000,1160000,1270000,1360000,1500000,1690000,1890000,2080000,2300000,2570000,2890000,3240000,3550000,3850000,4270000,4580000,4930000,5120000,5140000,5340000,5550000,5790000,Europe
Dominican Republic,150000,116000,91300,105000,124000,147000,188000,243000,312000,402000,519000,690000,890000,1260000,1690000,2360000,3290000,4500000,5800000,7130000,8470000,9700000,10800000,North America
Algeria,2500000,2590000,2690000,2740000,2790000,2850000,3130000,3460000,3820000,4220000,4660000,5420000,5750000,6420000,7610000,8870000,11100000,14500000,19200000,25800000,31000000,36000000,43900000,Africa
Ecuador,500000,500000,505000,589000,693000,813000,914000,1020000,1140000,1280000,1440000,1660000,1840000,2020000,2560000,3470000,4540000,6070000,7990000,10200000,12700000,15000000,17600000,South America
Egypt,3500000,3830000,4179999,4330000,4530000,5640000,6230000,6820000,7480000,8480000,9700000,11000000,12300000,13800000,15900000,20500000,26600000,34500000,43300000,56100000,68800000,82800000,102000000,Africa
Eritrea,205000,205000,210000,309000,466000,684000,671000,642000,618000,594000,572000,578000,591000,651000,708000,822000,1010000,1310000,1730000,2260000,2290000,3170000,3550000,Africa
Spain,11500000,11800000,12200000,13000000,13900000,14900000,15600000,16200000,16900000,17700000,18600000,19900000,21300000,23400000,25700000,28100000,30400000,33900000,37700000,39200000,40800000,46900000,46800000,Europe
Estonia,334000,334000,337000,377000,425000,479000,540000,609000,687000,774000,873000,984000,1100000,1120000,1120000,1100000,1220000,1360000,1470000,1570000,1400000,1330000,1330000,Europe
Ethiopia,12000000,12000000,12500000,13900000,16000000,18400000,18400000,18300000,18200000,18100000,18000000,17900000,17900000,17900000,17900000,18100000,22200000,28400000,35100000,47900000,66200000,87600000,115000000,Africa
Finland,800000,967000,1170000,1360000,1450000,1620000,1730000,1770000,2040000,2360000,2640000,2920000,3130000,3440000,3700000,4010000,4430000,4610000,4790000,5000000,5190000,5370000,5540000,Europe
Fiji,131000,133000,135000,138000,140000,137000,133000,130000,126000,121000,121000,139000,157000,197000,255000,289000,393000,521000,635000,729000,811000,860000,896000,Oceania
France,29000000,30100000,31300000,33299999,34900000,36300000,37200000,38200000,38700000,39500000,40000000,40300000,38500000,40600000,40300000,41800000,45700000,50800000,53900000,56700000,59000000,62900000,65300000,Europe
Micronesia,16400,16400,16500,17200,18100,19000,20000,21000,22200,23400,24600,25900,27300,28600,30000,32000,44500,61400,72900,96300,107000,103000,115000,Oceania
Gabon,158000,158000,160000,195000,241000,295000,317000,337000,362000,386000,370000,337000,321000,361000,408000,473000,501000,589000,726000,949000,1230000,1620000,2230000,Africa
United Kingdom,10800000,12300000,20700000,24100000,26600000,27300000,29000000,31500000,34700000,37700000,41400000,45200000,47100000,46500000,48600000,50600000,52400000,55600000,56200000,57100000,58900000,63500000,67900000,Europe
Georgia,1070000,1070000,1080000,1170000,1290000,1410000,1540000,1690000,1850000,2029999,2220000,2440000,2670000,2920000,3200000,3530000,4010000,4710000,5020000,5410000,4360000,4099999,3990000,Asia
Ghana,2020000,2020000,2020000,2000000,1990000,1990000,2080000,2180000,2320000,2490000,2700000,2920000,3150000,3630000,4190000,5040000,6640000,8740000,11100000,14800000,19300000,24800000,31100000,Africa
Guinea,984000,984000,985000,999000,1010000,1030000,1110000,1200000,1310000,1440000,1540000,1690000,1860000,2190000,2530000,3010000,3490000,4150000,4870000,6350000,8240000,10200000,13100000,Africa
Gambia,103000,103000,103000,106000,109000,112000,120000,128000,140000,154000,166000,179000,192000,221000,255000,305000,365000,464000,637000,956000,1320000,1790000,2420000,Africa
Guinea-Bissau,218000,218000,218000,216000,213000,211000,219000,231000,249000,270000,292000,316000,339000,392000,451000,535000,616000,705000,782000,975000,1200000,1520000,1970000,Africa
Equatorial Guinea,80400,80400,80900,88800,98100,108000,115000,123000,132000,141000,135000,123000,117000,132000,151000,226000,255000,304000,250000,419000,606000,944000,1400000,Africa
Greece,2250000,2280000,2320000,2530000,2780000,3040000,3340000,3670000,4070000,4510000,4990000,5370000,5770000,6430000,7310000,7670000,8270000,8660000,9630000,10200000,11100000,10900000,10400000,Europe
Grenada,29400,29400,29500,30600,31800,32900,32299,37700,42200,52500,62200,66100,66200,78100,87600,76700,89900,94500,89000,96300,103000,106000,113000,North America
Guatemala,463000,529000,600000,648000,710000,847000,965000,1100000,1250000,1390000,1360000,1500000,1670000,1870000,2320000,3110000,4210000,5620000,7280000,9260000,11700000,14600000,17900000,North America
Guyana,166000,166000,163000,128000,101000,127000,148000,190000,243000,269000,292000,289000,288000,295000,330000,407000,572000,705000,780000,743000,747000,749000,787000,South America
Hong Kong,20000,20000,20900,23800,28100,38900,69000,116000,164000,219000,310000,445000,638000,823000,1740000,1970000,3050000,3850000,4870000,5730000,6610000,6970000,7500000,Asia
Honduras,130000,132000,137000,186000,255000,345000,380000,404000,328000,416000,527000,658000,779000,1020000,1240000,1550000,2040000,2720000,3680000,4960000,6570000,8320000,9900000,North America
Croatia,1230000,1230000,1230000,1340000,1460000,1600000,1750000,1910000,2080000,2280000,2490000,2720000,2970000,3240000,3540000,3850000,4190000,4420000,4600000,4780000,4430000,4330000,4110000,Europe
