Model,Current Price,Original Price,Sale,Rating,Link,Image Link,Image_Display
Apple iPhone 16 Plus 128GB Pink 5G With FaceTime - International Version ,"69,900","69,900",-,4.7,https://www.noon.com/egypt-en/iphone-16-plus-128gb-pink-5g-with-facetime-international-version/N70105861V/p/?o=cddbeb737b44c45c,https://f.nooncdn.com/p/pnsku/N70105861V/45/_/1725965670/cabfdfb8-1dc4-4c29-a916-6e35a2404935.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105861V/45/_/1725965670/cabfdfb8-1dc4-4c29-a916-6e35a2404935.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro Max 1TB Desert Titanium 5G With FaceTime - Middle East Version ,"97,852","110,999",On Sale,4.3,https://www.noon.com/egypt-en/iphone-16-pro-max-1tb-desert-titanium-5g-with-facetime-middle-east-version/N70105597V/p/?o=db6f739703d6b41a,https://f.nooncdn.com/p/pnsku/N70105597V/45/_/1726211176/dc206d30-7ab4-4f6f-b0f1-645cb51f2436.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105597V/45/_/1726211176/dc206d30-7ab4-4f6f-b0f1-645cb51f2436.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 13 128GB Midnight 5G With FaceTime - UAE Version ,"37,999","37,999",-,4.8,https://www.noon.com/egypt-en/iphone-13-128gb-midnight-5g-with-facetime-uae-version/N50837748A/p/?o=db2ac1355361cf8f,https://f.nooncdn.com/p/v1686205674/N50837748A_1.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/v1686205674/N50837748A_1.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Plus 256GB Black 5G With FaceTime - International Version ,"75,695","76,666",On Sale,4.7,https://www.noon.com/egypt-en/iphone-16-plus-256gb-black-5g-with-facetime-international-version/N70105884V/p/?o=ff5100ba5eb3d0fe,https://f.nooncdn.com/p/pnsku/N70105884V/45/_/1725964792/001c85e1-869e-4a4e-bed8-548edcdbf358.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105884V/45/_/1725964792/001c85e1-869e-4a4e-bed8-548edcdbf358.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro 128GB Natural Titanium 5G With FaceTime - International Version ,"77,700","77,700",-,4.6,https://www.noon.com/egypt-en/iphone-16-pro-128gb-natural-titanium-5g-with-facetime-international-version/N70106149V/p/?o=b0097dfb960fcd7b,https://f.nooncdn.com/p/pnsku/N70106149V/45/_/1725964952/1f8d6331-54f8-4abd-8644-8d6b84310059.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106149V/45/_/1725964952/1f8d6331-54f8-4abd-8644-8d6b84310059.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 256GB Ultramarine 5G With FaceTime - International Version ,"58,499","58,499",-,4.5,https://www.noon.com/egypt-en/iphone-16-256gb-ultramarine-5g-with-facetime-international-version/N70106038V/p/?o=af9d4058e4cf5eab,https://f.nooncdn.com/p/pnsku/N70106038V/45/_/1725965427/f9bc3623-581a-458f-9ccc-bd1b7e129b69.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106038V/45/_/1725965427/f9bc3623-581a-458f-9ccc-bd1b7e129b69.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Plus 128GB Teal 5G With FaceTime - International Version ,"67,000","67,000",-,4.3,https://www.noon.com/egypt-en/iphone-16-plus-128gb-teal-5g-with-facetime-international-version/N70105881V/p/?o=e8997582e4dc0dbd,https://f.nooncdn.com/p/pnsku/N70105881V/45/_/1725964838/7f994012-2328-42a1-95fa-bcde1ad4151a.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105881V/45/_/1725964838/7f994012-2328-42a1-95fa-bcde1ad4151a.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Plus 128GB Ultramarine 5G With FaceTime - International Version ,"58,799","66,500",On Sale,4.6,https://www.noon.com/egypt-en/iphone-16-plus-128gb-ultramarine-5g-with-facetime-international-version/N70105880V/p/?o=f91247b6a3e8d4bc,https://f.nooncdn.com/p/pnsku/N70105880V/45/_/1725965708/c8bca4c1-bc4c-46e9-8e2c-e13cc090cceb.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105880V/45/_/1725965708/c8bca4c1-bc4c-46e9-8e2c-e13cc090cceb.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 256GB White 5G With FaceTime - International Version ,"58,499","72,900",On Sale,4.6,https://www.noon.com/egypt-en/iphone-16-256gb-white-5g-with-facetime-international-version/N70106138V/p/?o=a93fd52d83a6a2cb,https://f.nooncdn.com/p/pnsku/N70106138V/45/_/1725964787/1b7411bb-fbd1-4db0-ac1a-863d8c07e45d.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106138V/45/_/1725964787/1b7411bb-fbd1-4db0-ac1a-863d8c07e45d.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro Max 512GB Desert Titanium 5G With FaceTime - Middle East Version ,"88,633","88,765",On Sale,4.5,https://www.noon.com/egypt-en/iphone-16-pro-max-512gb-desert-titanium-5g-with-facetime-middle-east-version/N70105587V/p/?o=ed1fa7355ce2edef,https://f.nooncdn.com/p/pnsku/N70105587V/45/_/1726043597/12e5b3eb-fe56-41ef-862a-65077b6c5003.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105587V/45/_/1726043597/12e5b3eb-fe56-41ef-862a-65077b6c5003.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version ,"78,540","78,580",On Sale,4.7,https://www.noon.com/egypt-en/iphone-16-pro-max-256gb-black-titanium-5g-with-facetime-middle-east-version/N70105591V/p/?o=f739c235dafa8ffe,https://f.nooncdn.com/p/pnsku/N70105591V/45/_/1726043597/8211f8d6-03c7-4f76-a29d-c93ef0d026af.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70105591V/45/_/1726043597/8211f8d6-03c7-4f76-a29d-c93ef0d026af.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 15 Plus 128GB Pink 5G With FaceTime - International Version ,"50,999","50,999",-,4.6,https://www.noon.com/egypt-en/iphone-15-plus-128gb-pink-5g-with-facetime-international-version/N53433271A/p/?o=d7812d495e90be2d,https://f.nooncdn.com/p/pnsku/N53433271A/45/_/1694762189/11be0148-22e6-4ac2-8c91-db5105e2e23a.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N53433271A/45/_/1694762189/11be0148-22e6-4ac2-8c91-db5105e2e23a.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 256GB Black 5G With FaceTime - International Version ,"58,499","58,499",-,4.8,https://www.noon.com/egypt-en/iphone-16-256gb-black-5g-with-facetime-international-version/N70106136V/p/?o=fcfbee74c8e7bc7c,https://f.nooncdn.com/p/pnsku/N70106136V/45/_/1725964715/bb2c6620-f447-45d5-9ce3-c44991990e04.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106136V/45/_/1725964715/bb2c6620-f447-45d5-9ce3-c44991990e04.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 256GB Pink 5G With FaceTime - International Version ,"58,499","58,499",-,4.5,https://www.noon.com/egypt-en/iphone-16-256gb-pink-5g-with-facetime-international-version/N70106135V/p/?o=cbda2b074d007eae,https://f.nooncdn.com/p/pnsku/N70106135V/45/_/1725965427/050268ed-5f3f-4037-ab80-1fe9026a7f90.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106135V/45/_/1725965427/050268ed-5f3f-4037-ab80-1fe9026a7f90.jpg?format=jpg&width=240"" width=""100""/>"
Apple iPhone 16 Pro Max 1TB Desert Titanium 5G With FaceTime - International Version ,"99,999","99,999",-,4.9,https://www.noon.com/egypt-en/iphone-16-pro-max-1tb-desert-titanium-5g-with-facetime-international-version/N70106159V/p/?o=efd2373407a14e4f,https://f.nooncdn.com/p/pnsku/N70106159V/45/_/1726211165/252a3fab-d2cd-4511-a045-afcbc91a2bbd.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70106159V/45/_/1726211165/252a3fab-d2cd-4511-a045-afcbc91a2bbd.jpg?format=jpg&width=240"" width=""100""/>"
"Apple iPhone 16, 128GB, Single Sim, Teal, 1 Year Warranty | UPGRADE Refurbished | Diamond Grade ","50,999","53,600",On Sale,,https://www.noon.com/egypt-en/iphone-16-128gb-single-sim-teal-1-year-warranty-upgrade-refurbished-diamond-grade/N70138166V/p/?o=aaf10673843516be,https://f.nooncdn.com/p/pnsku/N70138166V/45/_/1735398120/148fe94f-42c1-4b1e-811d-6e1ce71a8601.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70138166V/45/_/1735398120/148fe94f-42c1-4b1e-811d-6e1ce71a8601.jpg?format=jpg&width=240"" width=""100""/>"
"Apple iPhone 16, 128GB, Single Sim, UltraMarine, 1 Year Warranty | UPGRADE Refurbished | Diamond Grade ","50,999","53,600",On Sale,,https://www.noon.com/egypt-en/iphone-16-128gb-single-sim-ultramarine-1-year-warranty-upgrade-refurbished-diamond-grade/N70137273V/p/?o=bd88851a96c935dc,https://f.nooncdn.com/p/pnsku/N70137273V/45/_/1735159681/368c5471-bc8a-4fb1-a591-f975c06cdf14.jpg?format=jpg&width=240,"<img src=""https://f.nooncdn.com/p/pnsku/N70137273V/45/_/1735159681/368c5471-bc8a-4fb1-a591-f975c06cdf14.jpg?format=jpg&width=240"" width=""100""/>"
